Origin,Destination,Unc_0.7_Cov_0.7,Unc_0.7_Cov_0.75,Unc_0.7_Cov_0.8,Unc_0.7_Cov_0.85,Unc_0.7_Cov_0.9,Unc_0.7_Cov_0.95,Unc_0.7_Cov_1,Unc_0.75_Cov_0.7,Unc_0.75_Cov_0.75,Unc_0.75_Cov_0.8,Unc_0.75_Cov_0.85,Unc_0.75_Cov_0.9,Unc_0.75_Cov_0.95,Unc_0.75_Cov_1,Unc_0.8_Cov_0.7,Unc_0.8_Cov_0.75,Unc_0.8_Cov_0.8,Unc_0.8_Cov_0.85,Unc_0.8_Cov_0.9,Unc_0.8_Cov_0.95,Unc_0.8_Cov_1,Unc_0.85_Cov_0.7,Unc_0.85_Cov_0.75,Unc_0.85_Cov_0.8,Unc_0.85_Cov_0.85,Unc_0.85_Cov_0.9,Unc_0.85_Cov_0.95,Unc_0.85_Cov_1,Unc_0.9_Cov_0.7,Unc_0.9_Cov_0.75,Unc_0.9_Cov_0.8,Unc_0.9_Cov_0.85,Unc_0.9_Cov_0.9,Unc_0.9_Cov_0.95,Unc_0.9_Cov_1,Unc_0.95_Cov_0.7,Unc_0.95_Cov_0.75,Unc_0.95_Cov_0.8,Unc_0.95_Cov_0.85,Unc_0.95_Cov_0.9,Unc_0.95_Cov_0.95,Unc_0.95_Cov_1,Unc_1_Cov_0.7,Unc_1_Cov_0.75,Unc_1_Cov_0.8,Unc_1_Cov_0.85,Unc_1_Cov_0.9,Unc_1_Cov_0.95,Unc_1_Cov_1
Chicago,Cleveland,438.0892,441.037125,442.5615882,445.2257778,447.8175789,445.5183,445.6933636,443.8056667,446.905625,448.4869118,451.2972222,454.0352632,451.6015,451.7936364,449.5221333,452.774125,456.0008235,457.3686667,460.2529474,457.6847,457.8939091,455.2386,458.642625,462.0273824,463.4401111,460.7546316,463.7679,463.9941818,460.9550667,464.511125,466.2628824,469.5115556,466.6922105,469.8511,470.0944545,466.6715333,470.379625,472.1882059,475.583,472.6297895,475.9343,476.1947273,472.388,476.248125,478.1135294,481.6544444,478.5673684,482.0175,482.295
Chicago,Detroit,358.09752,357.5100556,356.6247368,357.2780656,358.1994531,360.7891029,364.1930556,362.9861,362.36625,361.4046491,362.0556557,363.3753125,366.0871324,369.466875,367.25092,367.2224444,366.888386,366.8332459,368.243375,371.5938529,374.7406944,372.09764,372.0786389,372.4424649,371.6108361,373.1777422,376.6809412,380.0145139,376.93998,376.9348333,377.3036316,376.3884262,378.0385469,381.7680294,385.2883333,382.52658,381.7910278,382.1647982,381.1660164,382.8993516,386.8551176,390.5621528,386.6328,386.6472222,387.0259649,385.9436066,387.7601563,391.9422059,395.8359722
Chicago,Duluth,580.5334,580.0318308,579.9961159,579.0742329,580.9025641,583.4093171,586.8925862,588.5565417,586.9844231,586.9381159,585.9578425,587.8623718,590.4889024,594.0961207,595.6088,593.9370154,593.8801159,592.8283562,594.8221795,597.5684878,601.2996552,602.6610583,600.8896077,600.8221159,599.6978562,601.7802115,604.6470732,608.5031897,609.7133167,609.0538923,607.7641159,606.5679315,608.7382179,611.7162195,615.7067241,618.094025,616.0734846,616.0904058,613.4380068,615.6962244,618.7830671,622.9102586,626.615,623.0930769,623.0955072,621.0562162,622.6542308,625.8382927,630.1137931
Chicago,Hamilton,589.904,589.904,585.7224286,585.7224286,590.679125,590.679125,590.9087778,597.26,597.26,592.9389286,592.9389286,598.1259375,598.1259375,598.4780556,604.616,604.616,600.1554286,600.1554286,605.57275,605.57275,606.0473333,611.972,611.972,607.3719286,607.3719286,613.0195625,613.0195625,613.6166111,619.328,619.328,614.5884286,614.5884286,620.466375,620.466375,621.1858889,626.684,626.684,621.8049286,621.8049286,627.9131875,627.9131875,628.7551667,634.1566667,634.1566667,629.0214286,629.0214286,635.36,635.36,636.3244444
Chicago,Milwaukee,165.2328462,163.0550238,160.8483111,166.5124792,172.2025882,175.1548148,179.8150351,167.7690385,165.4782738,163.1675556,169.2322396,175.3008824,178.5733333,183.5206579,170.3052308,167.9015238,165.4868,171.952,178.3991765,181.9918519,187.2262807,172.8414231,170.3247738,167.8060444,174.6717604,181.4974706,185.4103704,190.9319035,175.3776154,172.7480238,170.1252889,177.3915208,184.5957647,188.8288889,194.6375263,177.9138077,175.1712738,172.4445333,180.1112812,186.8562255,192.2474074,198.3431491,180.45,177.5945238,174.7637778,182.8310417,189.9454902,195.6659259,202.0487719
Chicago,Montreal,1041.262967,1039.169594,1042.041118,1044.725306,1047.781658,1050.832625,1055.981884,1052.694583,1050.503047,1053.519926,1056.346458,1059.566513,1062.788187,1068.228779,1062.547667,1064.551188,1064.987059,1067.967611,1071.351368,1074.74375,1080.475674,1073.311033,1074.408219,1076.454191,1079.588764,1083.136224,1086.699313,1092.72257,1087.261833,1088.419531,1089.290971,1091.209917,1094.921079,1098.654875,1104.969465,1098.635583,1101.332219,1102.230044,1102.831069,1106.705934,1110.610438,1117.21636,1112.182333,1112.8825,1113.852941,1114.452222,1118.490789,1122.566,1129.463256
Chicago,Thunder Bay,826.7955238,829.4284,828.789375,831.5295882,832.5645185,831.8070526,832.0904754,836.4339286,839.1644444,840.2009375,841.4054412,842.4587963,841.6353509,841.945041,846.0723333,848.9004889,850.0166667,851.2676471,854.2302593,851.4636491,851.7996066,855.6755833,858.6365333,859.8323958,861.1094608,864.2141759,861.2919474,861.6541721,865.2724048,868.3725778,869.648125,870.9512745,874.1980926,871.1202456,871.5087377,874.8569167,878.1086222,877.2909375,880.7930882,884.1820093,880.9485439,881.3633033,884.4414286,887.8446667,886.99125,890.634902,891.8512963,890.7768421,891.2178689
Chicago,Toledo,331.0892927,329.2311818,331.2874894,334.76506,337.790566,340.8111071,343.5171017,335.5467683,333.5632955,335.7607447,339.48195,342.7225472,345.9591071,348.8584322,340.0042439,337.8954091,340.234,344.19884,347.6545283,351.1071071,354.1997627,344.4617195,342.2275227,344.7072553,348.91573,352.5865094,356.2551071,359.5410932,348.9191951,346.5596364,349.1805106,353.63262,357.5184906,361.4031071,364.8824237,353.3766707,350.89175,353.653766,358.34951,362.4504717,366.5511071,370.2237542,357.8341463,355.2238636,358.1270213,363.0664,367.3824528,371.6991071,375.5650847
Chicago,Toronto,641.5521739,641.3022162,642.993519,642.6572976,642.2947978,642.7352766,643.47,649.7236232,650.1386149,651.2043671,650.8449702,650.4439045,650.892234,651.6353535,657.8950725,658.2979189,659.4151139,659.0326429,658.5930112,660.102383,659.8007071,666.0665217,667.2195946,666.8253544,667.2203155,666.742118,668.3064149,667.9660606,675.0017101,675.4102703,674.994962,676.2983214,674.8866966,676.5104468,676.1314141,683.1997681,683.6009459,683.1645696,684.5252321,683.0203146,684.7144787,684.2967677,691.3882609,691.7916216,691.3341772,692.7521429,691.1539326,691.6420213,692.4621212
Chicago,Windsor,360.2646585,360.7004545,359.2654043,358.72076,360.1069623,362.8891786,366.6911695,364.9033537,365.3685227,363.847766,363.2783,364.7690094,367.7559821,371.806822,369.5420488,369.0319091,368.4301277,367.83584,369.4310566,372.6227857,376.9224746,374.1807439,373.637625,373.0124894,372.39338,374.0939151,377.4895893,382.0381271,378.819439,378.2433409,377.5948511,376.95092,378.769717,382.3563929,387.1537797,383.4581341,381.6765227,382.1772128,381.50846,383.4455189,387.2231964,392.2694322,388.0968293,386.2286364,386.7595745,386.066,388.1213208,392.09,397.3850847
Cleveland,Chicago,444.0310455,443.7995833,442.48304,442.3883333,440.8963214,437.9761,441.6018438,447.5192045,447.4655208,448.744,448.6306481,447.0577679,443.97425,447.8772656,453.6695455,450.7144167,452.19592,454.872963,453.2192143,449.9724,454.1526875,459.82675,456.669875,458.24614,461.1152778,459.3806607,455.97055,460.4281094,465.9872273,462.6253333,464.29636,467.3575926,465.5421071,461.9687,466.7035313,472.1477045,468.5807917,470.34658,473.5999074,471.7035536,467.96685,472.9789531,478.3081818,474.53625,476.3968,479.8422222,477.865,473.965,479.254375
Cleveland,Detroit,214.3930175,214.3456885,212.9885385,214.7040725,219.2799315,223.2932208,227.4723415,217.3480702,217.2920082,215.8467308,217.6957609,222.6001027,226.9150649,231.4061585,220.3031228,220.2383279,218.7049231,220.6874493,225.9182466,230.5369091,235.3399756,223.2616579,223.1846475,221.5655154,223.6791377,229.0600959,234.1587532,239.2737927,227.0362281,226.1309672,224.4286769,226.6708261,232.375863,237.7805974,243.2076098,230.0355702,229.0772869,227.2929538,229.6625145,235.6916301,241.3987987,247.1414268,233.0349123,232.0242623,230.1572308,232.7911594,239.0073973,245.0133766,251.0752439
Cleveland,Duluth,958.6585577,958.6428571,958.6474667,959.3131905,960.6643731,960.6702958,960.908,969.2508173,969.2305357,969.2384167,969.9728175,971.4203358,971.4359507,971.7123333,979.8430769,979.8182143,979.8293667,980.6324444,982.1762985,980.5801408,982.5166667,990.4353365,990.4058929,990.4203167,991.2920714,992.9362761,991.2677817,993.321,1001.027596,999.5706964,1001.011267,1001.951698,1003.704433,1001.955423,1004.125333,1011.619856,1010.092402,1011.602217,1012.611325,1012.619306,1012.643063,1014.929667,1022.217885,1022.2025,1022.193167,1021.295714,1023.289851,1023.330704,1025.734
Cleveland,Hamilton,347.7333043,348.67256,349.8831481,348.9493571,347.0868333,347.5033125,349.8435588,352.7091304,353.7194,355.0058333,354.0003571,352.0189167,352.4790625,355.0040441,357.6849565,358.76624,360.1285185,359.0513571,356.951,357.4548125,360.1645294,362.6607826,363.81308,365.2512037,364.1023571,361.8830833,362.4305625,365.3250147,367.6366087,368.85992,370.3738889,369.1533571,366.8151667,367.4063125,370.4855,372.6124348,373.90676,375.4965741,374.2043571,371.74725,372.3820625,375.6459853,377.5882609,378.9536,380.6192593,379.2553571,376.6793333,377.3578125,380.8064706
Cleveland,Milwaukee,540.1129192,540.7420094,540.5879823,540.8472083,540.6088898,539.6498284,540.3133451,547.2489394,547.9087972,547.7332743,547.9886042,547.7313976,546.7016604,547.4016725,554.3805859,555.0755849,554.8785664,555.13,554.8522205,553.7534925,554.49,561.5109141,562.2448679,562.0238584,562.2713958,561.9669606,560.8053246,561.5783275,568.6348182,569.419283,569.763292,569.4157833,569.0817008,567.8571567,568.6666549,575.7587222,577.1910802,576.9431947,577.2530042,576.1964409,575.7373209,575.7549824,582.8826263,584.3900943,584.4499123,584.4308333,583.3111811,582.8285075,582.8433099
Cleveland,Montreal,688.3852826,688.8664082,689.5833077,690.9092679,692.8889492,692.3591935,693.688,698.5124457,698.1195408,698.8530288,698.9863839,699.7192797,700.5232258,701.9390909,706.6592609,706.1962857,706.9461923,708.3432857,707.8377627,710.1171935,710.1901818,714.8060761,714.2730306,716.4702308,716.5019732,715.9562458,718.3651935,718.4412727,722.9528913,722.3497755,724.6478462,724.6606607,724.0747288,724.989871,726.6923636,731.0997065,730.4265204,732.8254615,732.8193482,732.1932119,734.8445565,734.9434545,740.846087,740.1257143,741.0030769,740.9780357,740.3116949,743.0785484,743.1945455
Cleveland,Thunder Bay,1150.6014,1145.104,1145.104,1145.104,1134.801286,1134.801286,1126.577125,1165.6585,1159.7625,1159.7625,1159.7625,1148.725357,1148.725357,1139.909063,1180.7156,1174.421,1174.421,1174.421,1162.649429,1162.649429,1153.241,1195.7727,1189.0795,1189.0795,1189.0795,1176.5735,1176.5735,1166.572938,1210.8298,1203.738,1203.738,1203.738,1190.497571,1190.497571,1179.904875,1225.8869,1218.3965,1218.3965,1218.3965,1204.421643,1204.421643,1193.236812,1240.944,1233.055,1233.055,1233.055,1218.345714,1218.345714,1206.56875
Cleveland,Toledo,156.1674286,156.7339565,157.072,157.0755,156.2025926,154.4573448,156.3305806,158.7825,159.3905435,159.7495833,159.7479808,158.8094444,156.9433621,158.95,161.3974286,162.0471304,162.4271667,162.4204615,161.4162963,159.4293793,161.5694194,164.0123571,164.7037174,165.10475,165.0929423,164.0231481,161.9153966,164.1888387,166.6272857,167.3603043,167.7823333,167.7654231,166.63,164.4014138,166.8082581,169.2422143,170.0168913,170.4599167,170.4379038,169.2368519,166.887431,169.4276774,171.8571429,172.6734783,173.1375,173.1103846,171.8437037,169.3734483,172.0470968
Cleveland,Toronto,377.4345556,378.22645,380.3762857,382.7154091,387.3050833,389.44184,394.8901852,381.91,382.799375,385.0854762,387.5932955,392.5172917,394.8112,400.6402778,386.3854444,387.3723,389.7946667,392.4711818,397.7295,400.18056,406.3903704,390.8608889,391.945225,394.5038571,397.3490682,402.9417083,405.54992,412.140463,395.3363333,396.51815,399.2130476,402.2269545,408.1539167,410.91928,417.8905556,399.8117778,401.091075,403.9222381,407.1048409,413.366125,416.28864,423.6406481,404.2872222,405.664,408.6314286,411.9827273,418.5783333,421.658,429.3907407
Cleveland,Windsor,231.9105333,232.0516458,231.3125577,230.1658909,228.7325345,233.0359672,238.1005385,235.383,235.5383854,234.7476442,233.5118182,231.9850431,236.6054098,242.0288846,238.8554667,239.025125,238.1827308,236.8577455,235.2375517,240.1722623,245.9572308,241.9141,242.5118646,241.6213173,240.2036727,238.4900603,243.7391148,249.8855769,245.3669556,245.5067917,245.0626731,243.5496,241.742569,247.3059672,253.8139231,248.8198111,248.9673542,248.5040288,246.8955273,244.9950776,250.8728197,257.7422692,252.2726667,252.4279167,251.9453846,250.2414545,248.2475862,254.4396721,261.6706154
Detroit,Chicago,356.5832264,356.5107544,356.5023279,357.1975231,355.5478696,358.1286301,361.3332078,361.3066509,361.2277632,361.2077869,361.9418846,360.1742391,362.9450685,366.3724351,366.7086415,365.9447719,365.9132459,366.6862462,364.8006087,367.7615068,371.4116623,371.472566,370.6617807,370.6187049,371.4306077,369.4269783,372.5779452,376.4508896,376.2364906,375.3787895,375.3241639,376.1749692,374.0533478,377.3943836,381.4901169,380.9944717,380.0957982,380.029623,380.9193308,378.6797174,382.2108219,386.5293442,385.7492453,384.812807,384.735082,385.6636923,383.306087,387.0272603,391.5685714
Detroit,Cleveland,227.817,227.5782424,227.7589722,227.7895526,228.12245,227.7171905,228.6611778,231.2744355,231.3049242,231.2138194,231.2466447,231.601375,231.167381,232.1842778,234.731871,234.7626667,234.3351111,234.7037368,235.0803,234.6175714,235.7073778,238.1893065,238.2204091,237.7714028,238.1608289,238.559225,238.0677619,239.2304778,241.6467419,241.6781515,241.2076944,241.6179211,242.03815,241.5179524,242.7535778,245.1041774,245.1358939,244.6439861,245.0750132,245.517075,244.9681429,246.2766778,248.5616129,248.5936364,248.0802778,248.5321053,248.996,248.4183333,249.7997778
Detroit,Duluth,869.4738621,869.6343548,871.864303,874.4958,876.9101892,877.2118718,881.3137143,878.9268966,879.1142742,881.5083333,884.3297857,886.9010135,887.2375,891.610119,888.379931,888.5941935,891.1523636,894.1569714,896.8918378,897.2631282,901.9065238,897.8508276,898.0741129,900.7963939,903.9708143,906.8826622,907.2887564,912.2029286,907.3326207,907.5540323,910.4404242,913.7734,916.8734865,917.3143846,922.4993333,916.8144138,917.0339516,920.0844545,923.5759857,926.8643108,927.3400128,932.7957381,926.2962069,929.3583871,929.7284848,933.3785714,936.8551351,937.365641,943.0921429
Detroit,Hamilton,263.4423214,263.3869333,264.4134688,264.1725882,262.6046944,265.8258684,271.2275854,267.188125,268.1965,268.1713281,267.9057353,266.2349306,269.6945395,275.4961585,270.9339286,271.9644667,271.9291875,271.6388824,269.8651667,273.5632105,279.7647317,274.6797321,275.7324333,275.6870469,275.3720294,273.4954028,277.4318816,284.0333049,278.4255357,279.5004,279.4449063,279.1051765,277.1256389,281.3005526,288.301878,282.1713393,283.2683667,283.2027656,282.8383235,280.755875,285.1692237,292.5704512,285.9067857,287.0363333,286.960625,286.5714706,284.3861111,289.0378947,296.8390244
Detroit,Milwaukee,465.5044516,464.089197,463.7335775,463.7545867,463.2557875,465.2867024,467.2076292,471.5327419,470.0144318,469.6455634,469.6778333,469.1447813,471.3283036,473.3939045,477.5610323,475.9396667,474.7335493,475.59488,475.033775,477.3699048,479.5801798,483.5893226,481.8649015,480.5949859,481.5119267,480.9227688,483.411506,485.7664551,489.6176129,487.7901364,486.4564225,486.3912267,486.8117625,489.4531071,491.9527303,495.648121,493.7193182,492.3178592,492.25328,492.7007563,495.4947083,498.1390056,501.6841935,499.6492424,498.1792958,498.1153333,498.58975,501.5363095,504.3252809
Detroit,Montreal,695.6872745,696.7931455,695.3828475,693.3220806,691.9521364,693.5459429,695.4735541,705.5864216,705.4570455,703.9629661,703.2383871,700.3032955,701.9565714,703.9952365,715.538549,714.1011636,712.5430847,711.754129,708.6544545,710.3672,712.5169189,724.2551373,722.7452818,721.1232034,720.269871,717.0056136,718.7778286,721.0386014,732.9717255,731.3894,729.703322,728.7856129,725.3567727,727.1884571,729.5602838,741.6883137,740.0335182,738.2834407,737.3013548,733.7079318,735.5990857,738.0819662,751.8772549,748.6776364,748.6550847,745.8170968,742.0590909,744.0097143,746.6036486
Detroit,Thunder Bay,934.4266471,936.9974444,931.02435,928.4389524,925.9763636,929.2942609,935.4678,945.7530882,948.4958333,942.145,939.3966667,936.7934091,940.2947826,946.8509,957.0795294,959.9942222,953.2994,950.354381,947.6104545,951.2953043,958.234,968.4059706,971.4926111,964.4538,961.3120952,958.4275,962.2958261,969.6171,979.7324118,982.991,975.6082,972.2799048,969.2445455,973.2963478,981.0002,991.0588529,994.4893889,986.7626,983.2775714,980.0615909,984.2968696,992.3833,1002.385294,1005.987778,997.917,994.2752381,990.8786364,995.2973913,1003.7664
Detroit,Toledo,92.25928571,93.10725,93.10725,91.61411111,91.61411111,90.177,99.37145455,94.16821429,95.081875,95.081875,93.47583333,93.47583333,91.932,101.7868182,96.07714286,97.0565,97.0565,95.33755556,95.33755556,93.687,104.2021818,97.98607143,99.031125,99.031125,97.19927778,97.19927778,95.442,106.6175455,99.895,101.00575,101.00575,99.061,99.061,97.197,109.0329091,101.8039286,102.980375,102.980375,100.9227222,100.9227222,98.952,111.4482727,103.7128571,104.955,104.955,102.7844444,102.7844444,100.707,113.8636364
Detroit,Toronto,307.3949167,309.2228077,312.8107143,314.9088276,319.0723226,323.2900909,328.7097143,310.798125,312.7472115,316.5871429,318.84,323.3035484,327.8284091,333.6292857,314.2013333,316.2716154,320.3635714,322.7711724,327.5333548,332.3667273,338.5488571,317.6045417,319.7960192,324.14,326.7023448,331.7631613,336.9050455,343.4684286,321.00775,323.3204231,327.9164286,330.6335172,335.9929677,341.4433636,348.388,324.4109583,326.8448269,331.6928571,334.5646897,340.2227742,345.9816818,353.3075714,327.8141667,330.3692308,335.4692857,338.4958621,344.4525806,350.52,358.2271429
Detroit,Windsor,34.39171429,34.02725,34.02725,34.56122222,34.56122222,44.8183,53.77218182,36.45214286,36.064375,36.064375,36.62694444,36.62694444,47.56475,57.14272727,38.51257143,38.1015,38.1015,38.69266667,38.69266667,50.3112,60.51327273,40.573,40.138625,40.138625,40.75838889,40.75838889,53.05765,63.88381818,42.63342857,42.17575,42.17575,42.82411111,42.82411111,55.8041,67.25436364,44.69385714,44.212875,44.212875,44.88983333,44.88983333,58.55055,70.62490909,46.75428571,46.25,46.25,46.95555556,46.95555556,61.297,73.99545455
Duluth,Chicago,572.991875,573.7981739,573.2415342,573.5582308,574.2823659,574.7521609,574.2349891,580.5575,581.4152899,580.8130822,581.1542949,581.927439,582.4098276,581.8521467,588.123125,589.0324058,589.0364384,588.750359,589.5725122,590.0674943,589.4693043,596.3043438,596.6495217,596.6467397,596.3464231,597.2175854,597.7251609,597.086462,603.9075313,604.2666377,604.2614795,603.9424872,604.8567195,605.378908,604.7036196,612.2053828,611.8837536,611.8762192,611.5385513,612.4938476,613.0324425,612.3207772,619.8507813,619.8775714,619.4909589,619.1346154,620.1309756,620.685977,619.9379348
Duluth,Cleveland,973.1144767,970.0073441,967.4625051,966.4504,965.375982,963.4540769,964.1459113,984.28375,980.976586,978.2639394,977.2248571,976.1013063,974.090235,974.841754,994.3314419,991.0550538,989.0714343,987.0701714,986.8312793,984.7263932,985.5375968,1005.271494,1001.829306,998.9421061,997.7767238,996.5591396,995.3625513,996.2334395,1015.972442,1012.324914,1010.688,1008.4704,1007.231198,1005.998709,1006.929282,1024.33686,1022.995237,1021.490212,1019.158248,1016.808734,1015.515145,1017.625125,1035.320581,1032.933763,1031.192323,1029.85019,1027.425225,1026.093077,1028.320968
Duluth,Detroit,869.268875,870.5151765,869.2336111,870.8135789,872.4707,870.7200952,870.0613913,878.98125,880.3858824,878.9943056,880.6694737,882.40475,880.6221429,879.9208696,888.647,890.2565882,888.755,890.5253684,892.3388,890.5241905,889.7803478,898.31275,900.1272941,898.5156944,900.3812632,902.27285,900.4262381,899.6398261,907.9785,906.2744118,908.2763889,910.2371579,912.2069,910.3282857,909.4993043,917.64425,915.8357353,918.0370833,920.0930526,918.1893,920.2303333,919.3587826,927.31,925.3970588,927.7977778,929.9489474,928.0155,930.132381,929.2182609
Duluth,Hamilton,1038.485776,1035.825792,1036.381607,1034.870617,1033.971683,1032.238881,1030.323507,1051.426276,1048.569764,1049.145,1047.484542,1046.511032,1044.657127,1042.619542,1064.368041,1062.754302,1061.908393,1060.098467,1059.050381,1057.075373,1054.915577,1075.80301,1075.589642,1074.671786,1072.712392,1071.58973,1069.493619,1067.211613,1088.655,1088.424981,1087.428607,1087.08845,1084.129079,1081.911866,1079.507648,1103.196531,1101.260321,1100.174482,1099.804058,1096.668429,1094.330112,1091.803683,1116.127755,1114.09566,1112.920357,1112.519667,1109.207778,1106.748358,1104.099718
Duluth,Milwaukee,477.022186,476.4759348,475.9065918,475.2049808,475.9576182,476.6594655,478.6138065,483.4093023,482.8113587,482.1997449,481.4388942,482.2375909,483.0004741,485.0746774,489.7964186,489.1467826,488.492898,487.6728077,488.5175636,489.3414828,491.5355484,496.1835349,495.4822065,494.786051,493.9067212,494.7975364,495.6824914,497.9964194,502.5706512,501.8176304,501.0792041,500.1406346,501.0775091,502.0235,504.4572903,508.9577674,508.1530543,507.3723571,506.3745481,507.3574818,508.3645086,510.9181613,515.3448837,514.4884783,513.6655102,512.6084615,513.6374545,514.7055172,517.3790323
